Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STATE,Geo_COUNTY,Geo_TRACT,avg_commute_min,occupied_units,no_veh,percent_no_veh,workers_over16,public_transport,ratio_pub_trans
06037106403,14000US06037106403,Census Tract 1064.03,"Census Tract 1064.03, Los Angeles County, California",06,037,106403,28,809,20,0.02,1566,7,0.00
06037106405,14000US06037106405,Census Tract 1064.05,"Census Tract 1064.05, Los Angeles County, California",06,037,106405,29,1225,31,0.03,1801,54,0.03
06037106406,14000US06037106406,Census Tract 1064.06,"Census Tract 1064.06, Los Angeles County, California",06,037,106406,34,1645,56,0.03,2605,103,0.04
06037106407,14000US06037106407,Census Tract 1064.07,"Census Tract 1064.07, Los Angeles County, California",06,037,106407,43,891,229,0.26,1210,173,0.14
06037106408,14000US06037106408,Census Tract 1064.08,"Census Tract 1064.08, Los Angeles County, California",06,037,106408,28,961,64,0.07,1669,54,0.03
06037106510,14000US06037106510,Census Tract 1065.10,"Census Tract 1065.10, Los Angeles County, California",06,037,106510,37,1600,21,0.01,2545,149,0.06
06037106520,14000US06037106520,Census Tract 1065.20,"Census Tract 1065.20, Los Angeles County, California",06,037,106520,31,1440,75,0.05,2712,66,0.02
06037106603,14000US06037106603,Census Tract 1066.03,"Census Tract 1066.03, Los Angeles County, California",06,037,106603,33,969,11,0.01,1556,26,0.02
06037106604,14000US06037106604,Census Tract 1066.04,"Census Tract 1066.04, Los Angeles County, California",06,037,106604,28,1163,63,0.05,2103,138,0.07
06037106641,14000US06037106641,Census Tract 1066.41,"Census Tract 1066.41, Los Angeles County, California",06,037,106641,38,792,16,0.02,1124,39,0.03
06037106642,14000US06037106642,Census Tract 1066.42,"Census Tract 1066.42, Los Angeles County, California",06,037,106642,38,1025,24,0.02,1374,15,0.01
06037106643,14000US06037106643,Census Tract 1066.43,"Census Tract 1066.43, Los Angeles County, California",06,037,106643,37,1336,10,0.01,2290,14,0.01
06037106645,14000US06037106645,Census Tract 1066.45,"Census Tract 1066.45, Los Angeles County, California",06,037,106645,37,1142,8,0.01,1554,6,0.00
06037106646,14000US06037106646,Census Tract 1066.46,"Census Tract 1066.46, Los Angeles County, California",06,037,106646,32,969,56,0.06,1595,51,0.03
06037106648,14000US06037106648,Census Tract 1066.48,"Census Tract 1066.48, Los Angeles County, California",06,037,106648,27,1032,44,0.04,1976,133,0.07
06037106649,14000US06037106649,Census Tract 1066.49,"Census Tract 1066.49, Los Angeles County, California",06,037,106649,31,702,23,0.03,1255,66,0.05
06037107010,14000US06037107010,Census Tract 1070.10,"Census Tract 1070.10, Los Angeles County, California",06,037,107010,32,739,14,0.02,1420,45,0.03
06037107020,14000US06037107020,Census Tract 1070.20,"Census Tract 1070.20, Los Angeles County, California",06,037,107020,39,1250,37,0.03,2535,71,0.03
06037108101,14000US06037108101,Census Tract 1081.01,"Census Tract 1081.01, Los Angeles County, California",06,037,108101,34,765,19,0.02,1225,0,0.00
06037108102,14000US06037108102,Census Tract 1081.02,"Census Tract 1081.02, Los Angeles County, California",06,037,108102,38,1217,13,0.01,1613,11,0.01
06037108103,14000US06037108103,Census Tract 1081.03,"Census Tract 1081.03, Los Angeles County, California",06,037,108103,35,1050,11,0.01,1615,22,0.01
06037108104,14000US06037108104,Census Tract 1081.04,"Census Tract 1081.04, Los Angeles County, California",06,037,108104,43,570,7,0.01,832,4,0.00
06037108201,14000US06037108201,Census Tract 1082.01,"Census Tract 1082.01, Los Angeles County, California",06,037,108201,38,1828,0,0,2639,32,0.01
06037108202,14000US06037108202,Census Tract 1082.02,"Census Tract 1082.02, Los Angeles County, California",06,037,108202,40,2772,31,0.01,3564,0,0.00
06037109100,14000US06037109100,Census Tract 1091,"Census Tract 1091, Los Angeles County, California",06,037,109100,28,777,56,0.07,1075,7,0.01
06037109200,14000US06037109200,Census Tract 1092,"Census Tract 1092, Los Angeles County, California",06,037,109200,34,950,21,0.02,1628,0,0.00
06037109300,14000US06037109300,Census Tract 1093,"Census Tract 1093, Los Angeles County, California",06,037,109300,34,914,59,0.06,1662,63,0.04
06037109400,14000US06037109400,Census Tract 1094,"Census Tract 1094, Los Angeles County, California",06,037,109400,35,1060,55,0.05,1924,181,0.09
06037109500,14000US06037109500,Census Tract 1095,"Census Tract 1095, Los Angeles County, California",06,037,109500,27,1030,49,0.05,1676,64,0.04
06037109601,14000US06037109601,Census Tract 1096.01,"Census Tract 1096.01, Los Angeles County, California",06,037,109601,30,1267,66,0.05,2198,48,0.02
06037109603,14000US06037109603,Census Tract 1096.03,"Census Tract 1096.03, Los Angeles County, California",06,037,109603,31,1303,44,0.03,1981,85,0.04
06037109604,14000US06037109604,Census Tract 1096.04,"Census Tract 1096.04, Los Angeles County, California",06,037,109604,27,904,47,0.05,1681,39,0.02
06037109700,14000US06037109700,Census Tract 1097,"Census Tract 1097, Los Angeles County, California",06,037,109700,28,1350,24,0.02,2269,27,0.01
06037109800,14000US06037109800,Census Tract 1098,"Census Tract 1098, Los Angeles County, California",06,037,109800,29,1445,22,0.02,2771,156,0.06
06037111100,14000US06037111100,Census Tract 1111,"Census Tract 1111, Los Angeles County, California",06,037,111100,32,948,37,0.04,1550,30,0.02
06037111201,14000US06037111201,Census Tract 1112.01,"Census Tract 1112.01, Los Angeles County, California",06,037,111201,33,1128,83,0.07,1704,91,0.05
06037111202,14000US06037111202,Census Tract 1112.02,"Census Tract 1112.02, Los Angeles County, California",06,037,111202,30,1657,46,0.03,2533,23,0.01
06037111204,14000US06037111204,Census Tract 1112.04,"Census Tract 1112.04, Los Angeles County, California",06,037,111204,34,1966,38,0.02,2862,18,0.01
06037111205,14000US06037111205,Census Tract 1112.05,"Census Tract 1112.05, Los Angeles County, California",06,037,111205,34,1314,14,0.01,1960,71,0.04
06037111206,14000US06037111206,Census Tract 1112.06,"Census Tract 1112.06, Los Angeles County, California",06,037,111206,37,1517,53,0.03,2067,89,0.04
06037111301,14000US06037111301,Census Tract 1113.01,"Census Tract 1113.01, Los Angeles County, California",06,037,111301,33,2689,186,0.07,3627,28,0.01
